node_number,position_x,position_y,popularity_0,popularity_1
0,242,220,10.794942637441197,12.007388507213989
1,429,279,14.325541064642346,4.704768737678217
2,348,167,8.802578287451578,11.540723059662694
3,77,106,11.473391749364309,10.516871123250706
4,438,78,8.601827901491546,9.55954530422994
5,498,327,5.08187934880972,9.666875561377767
6,250,345,9.776683258881034,9.405997611472362
7,361,438,10.72676585073557,8.927747173252929
8,218,225,5.682750632147402,12.782170942526193
9,141,1,15.40303320029975,9.164388711210714
