from_id,to_id,distance
0,1,25.96150997149434
0,2,266.28180561202447
0,3,184.88915598271305
0,4,107.54068997360952
0,5,120.20815280171308
0,6,134.79243302203577
0,7,63.51377803280167
0,8,431.2307966738925
0,9,247.50353532828578
1,2,277.3157045679166
1,3,158.927656498169
1,4,93.55746896961247
1,5,123.54756169184401
1,6,145.0
1,7,75.6042326857432
1,8,435.15744277215344
1,9,260.9674309181128
2,3,378.06084166440723
2,4,234.4120304079976
2,5,160.4244370412438
2,6,132.32157798333574
2,7,203.06649157357302
2,8,189.0026454841307
2,9,32.984845004941285
3,4,144.55794685869054
3,5,222.69710370815332
3,6,260.48608408128064
3,7,213.0211257129208
3,8,489.3260671576776
3,9,373.2693397534815
4,5,78.64477096412705
4,6,117.72000679578642
4,7,89.69392398596462
4,8,364.2320688791694
4,9,228.7116088002531
5,6,40.11234224026316
5,7,62.0
5,8,311.8493225902535
5,9,151.28780519261954
6,7,71.28113354878694
6,8,300.1283058959951
6,9,117.5967686630887
7,8,369.0338737839658
7,9,185.52627846210896
8,9,221.11083193728885
