1.203793696007525327e+01,1.015315530766413410e+01
9.966106337997715059e+00,1.030351846958563122e+01
1.265188181570672832e+01,9.181122408613328290e+00
1.334278216132687334e+01,1.273661996880196767e+01
1.173747423579415639e+01,1.003189164143565293e+01
1.212740815950578543e+01,9.970240377268316578e+00
8.060079809892313207e+00,9.566398243407203239e+00
1.107402035930451234e+01,1.013633525481448139e+01
9.910205068155645947e+00,1.365916231159999938e+01
1.051946141993252404e+01,6.735841459877629944e+00
