node_number,position_x,position_y,popularity_0,popularity_1
0,244,465,8.820188493769077,9.041873226864618
1,36,53,10.682330714543236,13.150717018163903
2,18,265,9.497495580527278,11.172677225110842
3,423,442,7.678070158966712,11.250944003587097
4,479,109,10.979441708912946,10.450916004002904
5,52,315,13.689452193443566,6.771258846352106
6,386,94,9.105607584766366,10.199184692536136
7,40,171,10.192141821973166,9.154027572514249
8,263,67,9.585945025462921,10.34770605668155
9,211,168,10.882397059245825,6.22839542739244
