node_number,position_x,position_y,popularity_0,popularity_1
0,421,126,12.038258478863519,8.988570964850657
1,155,353,11.294791194643526,10.27451410235184
2,338,172,13.008535574392152,10.469805390675058
3,462,26,7.925594792759408,14.329130675850404
4,35,187,11.475060537099123,12.202044929590809
5,381,333,9.729883954595211,9.011951115220995
6,437,140,7.862972431412613,8.986986814588711
7,179,75,6.6392546441448275,9.078894470543686
8,151,386,10.797307308735792,9.840769412892405
9,487,211,11.999832220690186,9.836418978777122
